Student,LPIPS,SSIM
112590017.png,0.16275590658187866,0.6967477513885076
112590041.png,0.1682555228471756,0.737595126355744
112590036.png,0.19095805287361145,0.735740622053601
109810011.png,0.22422847151756287,0.680549793147796
112590060.png,0.23896318674087524,0.6840240104494532
112590007.png,0.2577432096004486,0.6497723524753333
112590003.png,0.26754680275917053,0.7316868456517724
112590059.png,0.2692461609840393,0.7156818947566775
112590056.png,0.2844046354293823,0.6985324215646452
112590029.png,0.28584030270576477,0.6957003661073854
112590013.png,0.2872259020805359,0.7049067651031488
112590004.png,0.2987803518772125,0.6218239083111945
112590012.png,0.3116653859615326,0.7257545091381093
112590044.png,0.316008985042572,0.6129911788052267
110590456.png,0.32604289054870605,0.6041267565845391
112590009.png,0.3356908857822418,0.6258093348861877
112590023.png,0.34332162141799927,0.6272671253398553
112590033.png,0.34907782077789307,0.6872504939953017
112590014.png,0.35203656554222107,0.6324123354207991
111332012.png,0.35536062717437744,0.5745665002045761
112590026.png,0.363170862197876,0.5902788082936847
112590035.png,0.36488810181617737,0.5671814513609961
112590020.png,0.38066646456718445,0.5501761777363552
112590021.png,0.383400022983551,0.5483086089970682
110590041.png,0.39162275195121765,0.6718338833535444
112590057.png,0.3926542401313782,0.5611860559990932
112590022.png,0.39382532238960266,0.5482273545223052
112ab0053.png,0.42700955271720886,0.6257001525770031
111820017.jpg,0.42876338958740234,0.5558924340915203
110820009.png,0.4298153817653656,0.5282184979935363
112590005.png,0.4300340414047241,0.5484041881864911
113378043.png,0.43115413188934326,0.5643577637236149
112590031.png,0.4501541256904602,0.4735731851446441
112590052.png,0.45113998651504517,0.47488004443823345
112590030.png,0.45362329483032227,0.5332085576822084
112590051.png,0.46748748421669006,0.4544374323228528
112590053.png,0.5054430365562439,0.40050870793297927
112590024.png,0.5098353028297424,0.4368951152718754
112590018.png,0.5386446118354797,0.3766891441634792
